iter	Passed	Remaining
312	4635	10173
313	4648	10155
314	4662	10138
315	4678	10127
316	4693	10112
317	4708	10098
318	4725	10088
319	4740	10074
320	4759	10067
321	4771	10047
322	4788	10036
323	4804	10023
324	4822	10015
325	4838	10003
326	4856	9995
327	4872	9982
328	4886	9966
329	4902	9952
330	4915	9934
331	4930	9919
332	4946	9907
333	4959	9888
334	4973	9873
335	4986	9854
336	4998	9834
337	5012	9816
338	5026	9800
339	5040	9785
340	5054	9767
341	5067	9749
342	5080	9731
343	5093	9714
344	5105	9693
345	5121	9680
346	5136	9665
347	5149	9647
348	5164	9633
349	5180	9621
350	5197	9609
351	5212	9596
352	5232	9590
353	5251	9582
354	5269	9573
355	5285	9561
356	5301	9549
357	5315	9531
358	5332	9521
359	5347	9506
360	5362	9492
361	5382	9485
362	5398	9473
363	5412	9456
364	5425	9439
365	5440	9423
366	5453	9406
367	5469	9392
368	5482	9375
369	5495	9356
370	5507	9338
371	5523	9324
372	5535	9304
373	5547	9284
374	5560	9267
375	5573	9250
376	5586	9232
377	5599	9214
378	5614	9200
379	5628	9183
380	5640	9164
381	5655	9149
382	5668	9131
383	5679	9110
384	5690	9090
385	5703	9071
386	5716	9054
387	5728	9036
388	5741	9018
389	5755	9001
390	5767	8982
391	5779	8963
392	5791	8945
393	5805	8929
394	5818	8912
395	5830	8893
396	5844	8877
397	5857	8860
398	5871	8843
399	5883	8825
400	5895	8806
401	5907	8787
402	5921	8771
403	5934	8754
404	5947	8738
405	5960	8720
406	5972	8701
407	5987	8687
408	6001	8671
409	6014	8654
410	6028	8638
411	6039	8619
412	6051	8601
413	6065	8584
414	6076	8565
415	6090	8550
416	6106	8538
417	6124	8527
418	6148	8526
419	6168	8517
420	6190	8513
421	6204	8498
422	6222	8487
423	6237	8473
424	6248	8453
425	6264	8440
426	6284	8433
427	6300	8419
428	6316	8406
429	6332	8394
430	6351	8385
431	6369	8374
432	6380	8355
433	6393	8338
434	6407	8322
435	6420	8305
436	6433	8289
437	6447	8272
438	6459	8254
439	6472	8237
440	6484	8219
441	6498	8203
442	6512	8189
443	6527	8173
444	6540	8157
445	6551	8138
446	6562	8118
447	6574	8101
448	6587	8083
449	6599	8066
450	6612	8049
451	6626	8033
452	6642	8020
453	6655	8004
454	6671	7991
455	6687	7977
456	6703	7965
457	6716	7948
458	6731	7934
459	6747	7920
460	6763	7907
461	6777	7892
462	6794	7880
463	6814	7871
464	6831	7859
465	6847	7847
466	6865	7836
467	6878	7819
468	6894	7806
469	6910	7793
470	6924	7777
471	6938	7761
472	6952	7746
473	6965	7729
474	6980	7714
475	6992	7697
476	7005	7681
477	7018	7664
478	7031	7648
479	7044	7631
480	7056	7614
481	7069	7597
482	7082	7580
483	7095	7564
484	7108	7548
485	7125	7536
486	7143	7524
487	7159	7511
488	7173	7496
489	7189	7483
490	7205	7469
491	7220	7455
492	7232	7437
493	7247	7423
494	7264	7411
495	7281	7398
496	7297	7385
497	7312	7371
498	7328	7357
499	7345	7345
500	7363	7334
501	7380	7321
502	7396	7308
503	7411	7294
504	7422	7275
505	7432	7256
506	7443	7238
507	7457	7222
508	7469	7205
509	7484	7191
510	7496	7173
511	7508	7156
512	7522	7141
513	7537	7126
514	7550	7110
515	7563	7094
516	7577	7079
517	7590	7062
518	7604	7047
519	7616	7030
520	7631	7016
521	7645	7000
522	7659	6986
523	7674	6971
524	7690	6957
525	7702	6940
526	7715	6925
527	7727	6907
528	7740	6891
529	7752	6874
530	7767	6860
531	7782	6845
532	7794	6829
533	7806	6812
534	7820	6796
535	7832	6779
536	7846	6764
537	7858	6748
538	7872	6733
539	7886	6718
540	7899	6702
541	7914	6687
542	7928	6673
543	7940	6656
544	7954	6640
545	7968	6625
546	7982	6610
547	7995	6595
548	8009	6579
549	8022	6564
550	8035	6548
551	8049	6533
552	8061	6516
553	8075	6500
554	8089	6485
555	8100	6468
556	8114	6453
557	8130	6439
558	8146	6426
559	8160	6411
560	8177	6398
561	8194	6386
562	8208	6371
563	8226	6359
564	8239	6343
565	8252	6327
566	8270	6316
567	8287	6303
568	8303	6289
569	8321	6277
570	8336	6263
571	8354	6251
572	8371	6238
573	8388	6225
574	8401	6210
575	8415	6194
576	8430	6180
577	8443	6164
578	8457	6149
579	8470	6134
580	8485	6119
581	8497	6102
582	8512	6088
583	8525	6072
584	8538	6057
585	8551	6041
586	8563	6025
587	8576	6009
588	8590	5994
589	8604	5979
590	8619	5965
591	8636	5952
592	8653	5939
593	8669	5925
594	8687	5913
595	8704	5900
596	8724	5889
597	8739	5874
598	8758	5863
599	8775	5850
600	8790	5835
601	8806	5822
602	8823	5809
603	8838	5794
604	8853	5780
605	8866	5764
606	8883	5751
607	8900	5738
608	8915	5724
609	8934	5712
610	8946	5696
611	8961	5681
612	8976	5667
613	8991	5652
614	9005	5637
615	9019	5622
616	9030	5605
617	9042	5589
618	9055	5573
619	9067	5557
620	9083	5543
621	9099	5529
622	9120	5518
623	9139	5506
624	9161	5496
625	9183	5486
626	9204	5475
627	9228	5466
628	9244	5452
629	9261	5439
630	9278	5425
631	9294	5411
632	9307	5396
633	9324	5383
634	9337	5367
635	9356	5354
636	9372	5340
637	9384	5324
638	9396	5308
639	9409	5292
640	9421	5276
641	9434	5260
642	9449	5246
643	9461	5230
644	9474	5214
645	9488	5199
646	9501	5184
647	9514	5168
648	9525	5151
649	9540	5136
650	9551	5120
651	9565	5105
652	9579	5090
653	9590	5074
654	9604	5058
655	9616	5042
656	9628	5026
657	9641	5011
658	9653	4995
659	9668	4980
660	9680	4964
661	9694	4949
662	9709	4935
663	9722	4919
664	9736	4904
665	9754	4892
666	9768	4876
667	9779	4860
668	9794	4845
669	9806	4830
670	9820	4814
671	9833	4799
672	9845	4783
673	9856	4767
674	9869	4751
675	9882	4736
676	9895	4721
677	9909	4706
678	9923	4691
679	9939	4677
680	9952	4661
681	9966	4647
682	9982	4633
683	9996	4618
684	10007	4601
685	10020	4586
686	10035	4572
687	10050	4557
688	10062	4542
689	10076	4527
690	10097	4515
691	10116	4502
692	10135	4489
693	10152	4476
694	10172	4464
695	10186	4449
696	10204	4436
697	10223	4423
698	10240	4409
699	10261	4397
700	10276	4383
701	10294	4369
702	10310	4356
703	10329	4342
704	10347	4329
705	10361	4314
706	10374	4299
707	10391	4285
708	10409	4272
709	10424	4258
710	10437	4242
711	10455	4229
712	10468	4213
713	10483	4199
714	10495	4183
715	10507	4167
716	10523	4153
717	10534	4137
718	10548	4122
719	10562	4107
720	10575	4092
721	10587	4076
722	10601	4061
723	10614	4046
724	10628	4031
725	10644	4017
726	10661	4003
727	10678	3989
728	10692	3974
729	10709	3960
730	10725	3946
731	10739	3931
732	10753	3917
733	10767	3902
734	10781	3887
735	10801	3874
736	10815	3859
737	10830	3844
738	10845	3830
739	10865	3817
740	10880	3803
741	10896	3788
742	10911	3774
743	10923	3758
744	10936	3743
745	10947	3727
746	10959	3711
747	10969	3695
748	10985	3681
749	10997	3665
750	11010	3650
751	11024	3635
752	11038	3620
753	11054	3606
754	11071	3592
755	11088	3578
756	11105	3564
757	11120	3550
758	11136	3535
759	11153	3522
760	11171	3508
761	11188	3494
762	11204	3480
763	11220	3465
764	11234	3451
765	11252	3437
766	11270	3423
767	11290	3410
768	11305	3396
769	11322	3382
770	11337	3367
771	11354	3353
772	11368	3338
773	11383	3324
774	11397	3309
775	11411	3293
776	11426	3279
777	11439	3264
778	11453	3249
779	11465	3233
780	11479	3218
781	11492	3203
782	11506	3188
783	11519	3173
784	11532	3158
785	11545	3143
786	11557	3128
787	11569	3112
788	11582	3097
789	11593	3081
790	11607	3066
791	11619	3051
792	11634	3036
793	11646	3021
794	11660	3006
795	11674	2992
796	11689	2977
797	11701	2962
798	11717	2947
799	11730	2932
800	11744	2917
801	11757	2902
802	11772	2888
803	11784	2872
804	11796	2857
805	11810	2842
806	11826	2828
807	11844	2814
808	11857	2799
809	11870	2784
810	11883	2769
811	11897	2754
812	11910	2739
813	11923	2724
814	11938	2709
815	11953	2695
816	11967	2680
817	11982	2665
818	11995	2651
819	12010	2636
820	12025	2621
821	12039	2607
822	12054	2592
823	12070	2578
824	12089	2564
825	12105	2550
826	12124	2536
827	12141	2522
828	12155	2507
829	12171	2492
830	12187	2478
831	12201	2463
832	12217	2449
833	12234	2435
834	12249	2420
835	12269	2406
836	12287	2392
837	12303	2378
838	12319	2364
839	12339	2350
840	12352	2335
841	12366	2320
842	12379	2305
843	12392	2290
844	12405	2275
845	12419	2260
846	12432	2245
847	12446	2230
848	12458	2215
849	12470	2200
850	12484	2185
851	12497	2170
852	12511	2156
853	12522	2140
854	12535	2125
855	12551	2111
856	12564	2096
857	12579	2081
858	12595	2067
859	12615	2053
860	12629	2038
861	12642	2024
862	12661	2009
863	12676	1995
864	12692	1980
865	12708	1966
866	12724	1952
867	12740	1937
868	12753	1922
869	12768	1907
870	12784	1893
871	12800	1878
872	12820	1865
873	12839	1850
874	12855	1836
875	12866	1821
876	12880	1806
877	12891	1791
878	12904	1776
879	12918	1761
880	12931	1746
881	12944	1731
882	12957	1716
883	12972	1702
884	12984	1687
885	12995	1672
886	13008	1657
887	13022	1642
888	13033	1627
889	13050	1613
890	13067	1598
891	13081	1583
892	13095	1569
893	13113	1554
894	13130	1540
895	13144	1525
896	13157	1510
897	13170	1495
898	13184	1481
899	13201	1466
900	13217	1452
901	13230	1437
902	13247	1423
903	13265	1408
904	13277	1393
905	13290	1378
906	13305	1364
907	13323	1349
908	13339	1335
909	13352	1320
910	13365	1305
911	13379	1291
912	13391	1276
913	13405	1261
914	13420	1246
915	13434	1231
916	13447	1217
917	13461	1202
918	13476	1187
919	13489	1172
920	13501	1158
921	13515	1143
922	13528	1128
923	13541	1113
924	13554	1098
925	13566	1084
926	13580	1069
927	13590	1054
928	13603	1039
929	13617	1024
930	13632	1010
931	13645	995
932	13656	980
933	13670	965
934	13681	951
935	13693	936
936	13704	921
937	13717	906
938	13728	891
939	13740	877
940	13753	862
941	13767	847
942	13782	833
943	13796	818
944	13810	803
945	13825	789
946	13839	774
947	13852	759
948	13865	745
949	13877	730
950	13894	715
951	13908	701
952	13921	686
953	13933	671
954	13945	657
955	13960	642
956	13972	627
957	13986	613
958	13999	598
959	14014	583
960	14026	569
961	14038	554
962	14057	540
963	14075	525
964	14092	511
965	14107	496
966	14121	481
967	14139	467
968	14155	452
969	14170	438
970	14187	423
971	14200	409
972	14218	394
973	14233	379
974	14252	365
975	14266	350
976	14284	336
977	14302	321
978	14318	307
979	14329	292
980	14343	277
981	14357	263
982	14370	248
983	14383	233
984	14396	219
985	14405	204
986	14416	189
987	14424	175
988	14431	160
989	14438	145
990	14445	131
991	14452	116
992	14458	101
993	14465	87
994	14472	72
995	14478	58
996	14485	43
997	14492	29
998	14498	14
999	14505	0
