iter	Logloss
0	0.6795158028
1	0.655596414
2	0.6351127514
3	0.6194952071
4	0.6035687591
5	0.5894841616
6	0.575388643
7	0.5624834748
8	0.5486484497
9	0.5386025837
10	0.5303664315
11	0.5194985841
12	0.5135867136
13	0.5041853622
14	0.4968750135
15	0.4913641502
16	0.4833327983
17	0.4744825605
18	0.4680515905
19	0.4615202871
20	0.4547046158
21	0.4493201712
22	0.4457861948
23	0.4418712939
24	0.4371700388
25	0.4344296453
26	0.4299289918
27	0.4248047855
28	0.4224397824
29	0.420112006
30	0.4182252478
31	0.4161334382
32	0.4123394491
33	0.40902126
34	0.4067924451
35	0.4044911525
36	0.4011756476
37	0.3982626037
38	0.3958429165
39	0.3935242556
40	0.3904584455
41	0.3875574205
42	0.3864983653
43	0.3843881358
44	0.3823700879
45	0.3807867547
46	0.3794280972
47	0.3784256523
48	0.3773121929
49	0.3754976696
50	0.3737902678
51	0.3728292471
52	0.3707046749
53	0.3699496402
54	0.368535837
55	0.3673207513
56	0.366517838
57	0.3653873704
58	0.3642848329
59	0.3636811333
60	0.36187158
61	0.3612131682
62	0.3598169933
63	0.3587412352
64	0.357637396
65	0.357101417
66	0.3557072578
67	0.3540127051
68	0.3530265364
69	0.3517988595
70	0.3513152754
71	0.3507698157
72	0.3500520192
73	0.3493981533
74	0.3488362415
75	0.3484298284
76	0.3478816267
77	0.3474507411
78	0.346764798
79	0.345228665
80	0.3444430953
81	0.3432462321
82	0.3427079929
83	0.3414996771
84	0.3409157613
85	0.3403141344
86	0.339863935
87	0.3391414798
88	0.338493095
89	0.3380606799
90	0.3373057935
91	0.3368366855
92	0.3364105422
93	0.3359890433
94	0.3353177887
95	0.3341076012
96	0.3332206575
97	0.3327481242
98	0.3319867946
99	0.3316105194
100	0.3311426887
101	0.3303947123
102	0.329983582
103	0.3294717515
104	0.3290446391
105	0.3288206106
106	0.3283726585
107	0.3275570371
108	0.3273427877
109	0.3268872927
110	0.3265843447
111	0.3260687587
112	0.3256263228
113	0.3253329543
114	0.3249384383
115	0.3245658463
116	0.3239223595
117	0.3236416154
118	0.3225971254
119	0.3222317792
120	0.3216725423
121	0.3207388939
122	0.3205377896
123	0.3202575897
124	0.3197679321
125	0.3194359734
126	0.3189382416
127	0.3185610297
128	0.3182552116
129	0.3180770168
130	0.317817588
131	0.3173928185
132	0.3166849167
133	0.316119548
134	0.3157920911
135	0.3152895485
136	0.3149660119
137	0.3148224344
138	0.3146399508
139	0.3143479576
140	0.3141051186
141	0.3137887205
142	0.3135133223
143	0.3132618431
144	0.3130792114
145	0.3127507225
146	0.3125271629
147	0.3122553654
148	0.3113779749
149	0.3111765109
150	0.311011776
151	0.3108210213
152	0.310573781
153	0.3099925443
154	0.3097752723
155	0.3094265999
156	0.3092609704
157	0.3088796827
158	0.308651891
159	0.3082522865
160	0.3080725335
161	0.3078755137
162	0.3074777593
163	0.3071930629
164	0.3070916471
165	0.3068741189
166	0.3067268023
167	0.306507097
168	0.306286047
169	0.3058597392
170	0.3055503046
171	0.3053848318
172	0.3051352398
173	0.3049562524
174	0.3048090128
175	0.304474618
176	0.3042987824
177	0.304237366
178	0.3040958404
179	0.3039621891
180	0.3038251981
181	0.303604375
182	0.3032886194
183	0.3031569193
184	0.3029711248
185	0.302852648
186	0.3027572319
187	0.302528218
188	0.3023312574
189	0.3021968332
190	0.3020147889
191	0.3018529067
192	0.3017139246
193	0.3014786335
194	0.3013931428
195	0.301128148
196	0.3008927305
197	0.3007160025
198	0.3006142927
199	0.3004839098
200	0.3002835792
201	0.3001284781
202	0.300024325
203	0.2998204105
204	0.2996389941
205	0.2995093696
206	0.2992566556
207	0.2990748758
208	0.2989136205
209	0.2988006976
210	0.2987276105
211	0.2985802324
212	0.2983152758
213	0.2982165961
214	0.2980612548
215	0.2977950303
216	0.2975961187
217	0.2973772047
218	0.296933301
219	0.2968166225
220	0.296666542
221	0.2966006489
222	0.2964618333
223	0.296398198
224	0.296277541
225	0.2961554773
226	0.2959337485
227	0.2957099353
228	0.295554799
229	0.2953130804
230	0.2952134382
231	0.2948597144
232	0.2947269657
233	0.2945023837
234	0.2943732592
235	0.2941941345
236	0.294121947
237	0.2939516385
238	0.2937916321
239	0.2937095476
240	0.2935975414
241	0.2934612255
242	0.2930544379
243	0.2928603147
244	0.2926439832
245	0.2925311876
246	0.292265542
247	0.2921689523
248	0.2920105666
249	0.2919245825
250	0.2918520715
251	0.2917715526
252	0.2915117075
253	0.2913799475
254	0.2912608008
255	0.291173413
256	0.2909580447
257	0.2908811286
258	0.2908108805
259	0.2906062818
260	0.2905339656
261	0.290473567
262	0.2903187126
263	0.2901932207
264	0.2901247853
265	0.2898723714
266	0.2894895156
267	0.2894534198
268	0.2892962124
269	0.2891463867
270	0.2889724799
271	0.2888290942
272	0.2886684632
273	0.2885624449
274	0.2884511127
275	0.2882610615
276	0.288041664
277	0.2879679961
278	0.2877244445
279	0.2876204086
280	0.2874494999
281	0.2872822648
282	0.2871967377
283	0.2871237033
284	0.2869884918
285	0.2868822523
286	0.2865940702
287	0.2865309924
288	0.2864162553
289	0.2862530228
290	0.2861485601
291	0.2859660252
292	0.2858796775
293	0.2858151738
294	0.2856461272
295	0.2854529925
296	0.2852122526
297	0.2849959585
298	0.284922784
299	0.2848380935
300	0.2846072562
301	0.2845284322
302	0.2844248939
303	0.2842612099
304	0.2841268505
305	0.2839457202
306	0.2838221967
307	0.2837602871
308	0.2836564603
309	0.2834938301
310	0.2834216939
311	0.283193208
312	0.2830852156
313	0.2830189965
314	0.2828658418
315	0.2826709967
316	0.2824825678
317	0.2823958519
318	0.2822333269
319	0.2821406763
320	0.2820493163
321	0.2819620347
322	0.2817938664
323	0.2817058501
324	0.2813349692
325	0.2812239788
326	0.281122214
327	0.2809708191
328	0.2808744483
329	0.280767663
330	0.2806177025
331	0.2804680406
332	0.2802808148
333	0.2801521732
334	0.2800579129
335	0.2799102931
336	0.2797752096
337	0.2796803436
338	0.2796330762
339	0.2794853977
340	0.2793496354
341	0.2793067355
342	0.2791838556
343	0.2790286677
344	0.2789217616
345	0.2788095796
346	0.278742643
347	0.2784302194
348	0.2782158273
349	0.2781041745
350	0.2780272568
351	0.2777132324
352	0.2776322375
353	0.2775345496
354	0.2773929201
355	0.2772280951
356	0.2771427194
357	0.2769737894
358	0.2769240885
359	0.2768095071
360	0.2767257582
361	0.2765299267
362	0.2764622606
363	0.2762759093
364	0.2761679891
365	0.2760643069
366	0.2759496105
367	0.2759032421
368	0.2758601103
369	0.2757271689
370	0.2755674191
371	0.2754561519
372	0.2752588377
373	0.275174929
374	0.2750196648
375	0.2749142488
376	0.274830522
377	0.2747028607
378	0.2745940506
379	0.2744972283
380	0.2743829348
381	0.2743305657
382	0.2742548729
383	0.2742013341
384	0.2740560721
385	0.2739913645
386	0.2739372204
387	0.2738861608
388	0.2737290659
389	0.2736393073
390	0.2735705037
391	0.2734898604
392	0.2734386504
393	0.273321544
394	0.2732556606
395	0.2731698757
396	0.2731091199
397	0.2730069775
398	0.2729058504
399	0.272747519
400	0.2726456009
401	0.2725888051
402	0.2725375334
403	0.2723934529
404	0.2723383769
405	0.2722683967
406	0.2722035085
407	0.2721412977
408	0.2720987964
409	0.2720152087
410	0.2718652271
411	0.2717938758
412	0.2716774323
413	0.2716163999
414	0.2715068815
415	0.2714332825
416	0.271383207
417	0.2713438039
418	0.2712234433
419	0.2711616166
420	0.2710850139
421	0.2709238557
422	0.2708242635
423	0.2707056947
424	0.2706685093
425	0.2706395318
426	0.2705861282
427	0.2704717321
428	0.2703744347
429	0.2703349239
430	0.2701212083
431	0.2700453471
432	0.2699944086
433	0.2699138312
434	0.2698597012
435	0.2697999633
436	0.2696602201
437	0.2695661956
438	0.2694865307
439	0.2693796628
440	0.2693337171
441	0.2692312508
442	0.2691197484
